DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2025/01/17 17:32:00,AQUA_M-T,Brasil,MINAS GERAIS,TURMALINA,Cerrado,0,1.03,0.0,-17.45077,-42.61646,4.4
2025/01/17 17:32:00,AQUA_M-T,Brasil,MINAS GERAIS,TIROS,Cerrado,0,0.1,0.0,-18.76807,-45.86793,6.9
2025/01/18 18:13:00,AQUA_M-T,Brasil,MINAS GERAIS,ARINOS,Cerrado,2,0.0,0.0,-15.7464,-45.94803,33.7
2025/01/19 17:13:00,AQUA_M-T,Brasil,MINAS GERAIS,SERRO,Mata Atlântica,3,0.0,0.0,-18.53753,-43.56338,31.1
2025/01/19 17:11:00,AQUA_M-T,Brasil,MINAS GERAIS,PONTE NOVA,Mata Atlântica,2,0.0,-999.0,-20.41138,-42.90179,12.5
2025/01/19 17:11:00,AQUA_M-T,Brasil,MINAS GERAIS,TIMÓTEO,Mata Atlântica,4,0.0,0.02,-19.5793,-42.64747,15.5
2025/01/19 17:13:00,AQUA_M-T,Brasil,MINAS GERAIS,VAZANTE,Cerrado,1,1.85,0.0,-17.53774,-46.6231,26.8
2025/01/19 17:13:00,AQUA_M-T,Brasil,MINAS GERAIS,SERRO,Mata Atlântica,3,0.0,0.0,-18.53521,-43.55865,44.7
2025/01/19 17:13:00,AQUA_M-T,Brasil,MINAS GERAIS,ITAMARANDIBA,Mata Atlântica,3,0.0,0.0,-17.97747,-42.62775,8.4
2025/01/19 17:13:00,AQUA_M-T,Brasil,MINAS GERAIS,SERRO,Mata Atlântica,3,0.0,0.0,-18.5356,-43.5478,21.7
2025/01/19 17:13:00,AQUA_M-T,Brasil,MINAS GERAIS,TEÓFILO OTONI,Mata Atlântica,3,0.0,0.0,-17.85431,-41.57685,6.2
2025/01/19 17:11:00,AQUA_M-T,Brasil,MINAS GERAIS,GOVERNADOR VALADARES,Mata Atlântica,3,0.0,0.0,-18.73161,-42.28831,10.7
2025/01/19 17:11:00,AQUA_M-T,Brasil,MINAS GERAIS,PARÁ DE MINAS,Mata Atlântica,0,0.0,-999.0,-19.86348,-44.59915,24.5
2025/01/20 17:51:00,AQUA_M-T,Brasil,MINAS GERAIS,FRUTAL,Cerrado,0,0.8,0.0,-20.0448,-48.84143,9.0
2025/01/20 17:51:00,AQUA_M-T,Brasil,MINAS GERAIS,SANTA VITÓRIA,Cerrado,0,0.2,0.04,-18.86338,-50.21625,12.9
2025/01/20 17:51:00,AQUA_M-T,Brasil,MINAS GERAIS,ITUIUTABA,Mata Atlântica,0,0.5,0.03,-18.85606,-49.55764,6.1
2025/01/20 17:51:00,AQUA_M-T,Brasil,MINAS GERAIS,FRUTAL,Cerrado,0,0.9,0.0,-20.07401,-48.98414,9.7
2025/01/20 17:51:00,AQUA_M-T,Brasil,MINAS GERAIS,UBERABA,Cerrado,0,0.38,0.1,-19.85801,-48.18214,15.1
2025/01/20 17:51:00,AQUA_M-T,Brasil,MINAS GERAIS,UBERABA,Cerrado,0,0.0,0.09,-19.26661,-48.22984,12.0
2025/01/20 17:51:00,AQUA_M-T,Brasil,MINAS GERAIS,UBERLÂNDIA,Cerrado,0,0.62,0.04,-19.20382,-47.93117,9.0
2025/01/20 17:51:00,AQUA_M-T,Brasil,MINAS GERAIS,UNIÃO DE MINAS,Cerrado,0,0.3,0.08,-19.26184,-50.30157,11.4
2025/01/20 17:51:00,AQUA_M-T,Brasil,MINAS GERAIS,PRATA,Cerrado,0,0.3,0.04,-19.26633,-49.33461,6.2
2025/01/20 17:51:00,AQUA_M-T,Brasil,MINAS GERAIS,ÁGUA COMPRIDA,Cerrado,0,0.37,0.09,-20.10495,-48.03647,11.3
2025/01/21 16:54:00,AQUA_M-T,Brasil,MINAS GERAIS,SALINAS,Mata Atlântica,4,1.27,0.0,-16.03685,-42.12659,39.3
2025/01/21 16:54:00,AQUA_M-T,Brasil,MINAS GERAIS,SALINAS,Mata Atlântica,4,1.62,0.0,-16.03991,-42.15422,31.0
2025/01/21 16:54:00,AQUA_M-T,Brasil,MINAS GERAIS,JACINTO,Mata Atlântica,5,0.0,0.8,-15.97892,-40.27243,15.9
2025/01/21 16:54:00,AQUA_M-T,Brasil,MINAS GERAIS,BERIZAL,Mata Atlântica,4,4.58,0.0,-15.66043,-41.88131,52.1
2025/01/21 16:54:00,AQUA_M-T,Brasil,MINAS GERAIS,TAIOBEIRAS,Mata Atlântica,4,5.1,0.0,-15.8066,-41.98338,37.6
2025/01/21 16:54:00,AQUA_M-T,Brasil,MINAS GERAIS,PEÇANHA,Mata Atlântica,5,0.0,-999.0,-18.54493,-42.56215,47.0
2025/01/21 16:54:00,AQUA_M-T,Brasil,MINAS GERAIS,JACINTO,Mata Atlântica,5,0.0,0.79,-15.98065,-40.26721,23.2
2025/01/22 17:34:00,AQUA_M-T,Brasil,MINAS GERAIS,ÁGUA BOA,Mata Atlântica,5,6.13,0.0,-18.19901,-42.15409,6.1
2025/01/22 17:34:00,AQUA_M-T,Brasil,MINAS GERAIS,NACIP RAYDAN,Mata Atlântica,6,0.0,0.03,-18.41589,-42.1836,10.5
2025/01/22 17:34:00,AQUA_M-T,Brasil,MINAS GERAIS,CRISTÁLIA,Cerrado,0,0.5,0.0,-16.77167,-42.79162,11.7
2025/01/22 17:32:00,AQUA_M-T,Brasil,MINAS GERAIS,ITABIRA,Cerrado,3,16.8,0.0,-19.5289,-43.53279,7.7
2025/01/22 17:34:00,AQUA_M-T,Brasil,MINAS GERAIS,LASSANCE,Cerrado,3,16.9,0.0,-17.67067,-44.46201,8.9
2025/01/22 17:32:00,AQUA_M-T,Brasil,MINAS GERAIS,MERCÊS,Mata Atlântica,0,35.98,0.0,-21.09151,-43.319,6.7
2025/01/22 17:32:00,AQUA_M-T,Brasil,MINAS GERAIS,PIRANGA,Mata Atlântica,4,31.23,0.0,-20.59369,-43.37281,8.6
2025/01/22 17:32:00,AQUA_M-T,Brasil,MINAS GERAIS,CONCEIÇÃO DO MATO DENTRO,Cerrado,4,47.19,0.0,-19.13219,-43.52622,32.7
2025/01/22 17:34:00,AQUA_M-T,Brasil,MINAS GERAIS,SERRA AZUL DE MINAS,Mata Atlântica,5,1.57,0.0,-18.43506,-43.11306,18.0
2025/01/22 17:34:00,AQUA_M-T,Brasil,MINAS GERAIS,RUBELITA,Cerrado,2,0.0,0.0,-16.41756,-42.39988,31.1
2025/01/22 17:32:00,AQUA_M-T,Brasil,MINAS GERAIS,FRUTAL,Cerrado,2,0.0,-999.0,-20.02506,-48.93702,24.8
2025/01/22 17:34:00,AQUA_M-T,Brasil,MINAS GERAIS,JAÍBA,Caatinga,4,2.55,0.03,-15.16992,-43.74503,9.0
2025/01/22 17:34:00,AQUA_M-T,Brasil,MINAS GERAIS,COUTO DE MAGALHÃES DE MINAS,Cerrado,3,4.28,0.0,-17.98277,-43.43224,17.0
2025/01/22 17:34:00,AQUA_M-T,Brasil,MINAS GERAIS,CAPITÃO ENÉAS,Cerrado,0,0.3,0.01,-16.10347,-43.75932,7.0
2025/01/22 17:34:00,AQUA_M-T,Brasil,MINAS GERAIS,JOSENÓPOLIS,Cerrado,0,0.14,0.0,-16.41091,-42.59819,9.6
2025/01/22 17:34:00,AQUA_M-T,Brasil,MINAS GERAIS,BURITIS,Cerrado,0,1.3,-999.0,-15.6229,-46.42613,11.9
2025/01/22 17:34:00,AQUA_M-T,Brasil,MINAS GERAIS,OLHOS-D'ÁGUA,Cerrado,4,7.64,0.0,-17.28075,-43.47516,13.9
2025/01/22 17:32:00,AQUA_M-T,Brasil,MINAS GERAIS,CONCEIÇÃO DAS ALAGOAS,Cerrado,3,0.0,0.25,-19.9483,-48.54545,10.0
2025/01/22 17:32:00,AQUA_M-T,Brasil,MINAS GERAIS,JABOTICATUBAS,Cerrado,3,16.39,0.0,-19.53024,-43.54211,5.4
2025/01/22 17:32:00,AQUA_M-T,Brasil,MINAS GERAIS,PEÇANHA,Mata Atlântica,6,0.0,0.0,-18.68465,-42.37537,15.2
2025/01/22 17:32:00,AQUA_M-T,Brasil,MINAS GERAIS,PEÇANHA,Mata Atlântica,6,0.0,0.0,-18.6832,-42.36582,5.4
2025/01/22 17:32:00,AQUA_M-T,Brasil,MINAS GERAIS,ABAETÉ,Cerrado,4,30.49,-999.0,-19.15051,-45.45755,10.5
2025/01/22 17:32:00,AQUA_M-T,Brasil,MINAS GERAIS,ALVINÓPOLIS,Mata Atlântica,0,0.96,0.01,-20.06097,-43.19852,5.5
2025/01/22 17:34:00,AQUA_M-T,Brasil,MINAS GERAIS,DIAMANTINA,Cerrado,3,3.79,0.0,-17.73727,-43.51814,7.4
2025/01/24 17:13:00,AQUA_M-T,Brasil,MINAS GERAIS,TAIOBEIRAS,Cerrado,3,0.0,0.02,-15.88107,-41.94699,10.4
2025/01/24 17:13:00,AQUA_M-T,Brasil,MINAS GERAIS,VÁRZEA DA PALMA,Cerrado,1,2.71,-999.0,-17.6014,-44.73907,10.8
2025/01/24 17:13:00,AQUA_M-T,Brasil,MINAS GERAIS,RIO PARDO DE MINAS,Cerrado,5,0.0,0.01,-15.69586,-42.24639,13.0
2025/01/24 17:13:00,AQUA_M-T,Brasil,MINAS GERAIS,NOVO CRUZEIRO,Mata Atlântica,8,0.0,0.0,-17.5874,-41.97,21.2
2025/01/24 17:13:00,AQUA_M-T,Brasil,MINAS GERAIS,CARLOS CHAGAS,Mata Atlântica,8,0.0,0.15,-17.49911,-40.63257,9.5
2025/01/25 17:53:00,AQUA_M-T,Brasil,MINAS GERAIS,PARACATU,Cerrado,0,0.53,0.0,-17.4682,-47.02115,8.7
2025/01/25 17:53:00,AQUA_M-T,Brasil,MINAS GERAIS,PARACATU,Cerrado,0,0.6,0.0,-17.4913,-46.99044,9.0
2025/01/26 16:54:00,AQUA_M-T,Brasil,MINAS GERAIS,SALINAS,Mata Atlântica,5,0.0,-999.0,-16.16403,-42.31157,26.5
2025/01/27 17:34:00,AQUA_M-T,Brasil,MINAS GERAIS,PEDRAS DE MARIA DA CRUZ,Cerrado,5,0.0,0.21,-15.4408,-44.18139,38.4
2025/01/27 17:34:00,AQUA_M-T,Brasil,MINAS GERAIS,SENADOR MODESTINO GONÇALVES,Cerrado,4,9.66,0.0,-17.97748,-43.17329,4.7
2025/01/27 17:34:00,AQUA_M-T,Brasil,MINAS GERAIS,FELIXLÂNDIA,Cerrado,0,6.13,0.0,-18.77229,-45.14196,8.6
2025/01/27 17:34:00,AQUA_M-T,Brasil,MINAS GERAIS,SÃO ROMÃO,Cerrado,4,0.0,0.05,-16.27084,-45.08698,13.8
2025/01/27 17:34:00,AQUA_M-T,Brasil,MINAS GERAIS,MORADA NOVA DE MINAS,Cerrado,0,6.84,0.0,-18.74735,-45.2245,10.5
2025/01/27 17:34:00,AQUA_M-T,Brasil,MINAS GERAIS,RIO PARDO DE MINAS,Mata Atlântica,2,0.0,0.01,-15.79945,-42.32181,27.6
2025/01/27 17:34:00,AQUA_M-T,Brasil,MINAS GERAIS,SÃO ROMÃO,Cerrado,4,0.0,0.05,-16.27219,-45.09647,22.6
2025/01/27 17:34:00,AQUA_M-T,Brasil,MINAS GERAIS,PEÇANHA,Mata Atlântica,10,4.04,0.01,-18.43862,-42.55241,6.6
2025/01/27 17:34:00,AQUA_M-T,Brasil,MINAS GERAIS,PAPAGAIOS,Cerrado,0,5.4,0.0,-19.3953,-44.7186,6.8
2025/01/27 17:34:00,AQUA_M-T,Brasil,MINAS GERAIS,MATIAS CARDOSO,Caatinga,2,0.0,0.1,-15.01779,-43.62883,6.7
2025/01/27 17:34:00,AQUA_M-T,Brasil,MINAS GERAIS,CAPITÃO ENÉAS,Cerrado,5,0.1,0.05,-16.34829,-43.77076,8.8
2025/01/29 17:13:00,AQUA_M-T,Brasil,MINAS GERAIS,MORADA NOVA DE MINAS,Cerrado,1,47.02,0.0,-18.55,-45.31239,11.8
2025/01/29 17:15:00,AQUA_M-T,Brasil,MINAS GERAIS,MONTEZUMA,Cerrado,7,2.25,0.01,-15.29789,-42.53164,10.5
2025/01/30 17:53:00,AQUA_M-T,Brasil,MINAS GERAIS,SÃO FRANCISCO DE SALES,Cerrado,0,3.06,0.03,-19.70593,-49.88,11.5
2025/01/30 17:53:00,AQUA_M-T,Brasil,MINAS GERAIS,CONCEIÇÃO DAS ALAGOAS,Cerrado,2,6.13,0.0,-19.96055,-48.54939,10.8
